id,class,petal length,petal width,sepal length,sepal width,cluster
1,Iris-setosa,1.4,0.2,5.1,3.5,2
2,Iris-setosa,1.4,0.2,4.9,3.0,2
3,Iris-setosa,1.3,0.2,4.7,3.2,2
4,Iris-setosa,1.5,0.2,4.6,3.1,2
5,Iris-setosa,1.4,0.2,5.0,3.6,2
6,Iris-setosa,1.7,0.4,5.4,3.9,2
7,Iris-setosa,1.4,0.3,4.6,3.4,2
8,Iris-setosa,1.5,0.2,5.0,3.4,2
9,Iris-setosa,1.4,0.2,4.4,2.9,2
10,Iris-setosa,1.5,0.1,4.9,3.1,2
11,Iris-setosa,1.5,0.2,5.4,3.7,2
12,Iris-setosa,1.6,0.2,4.8,3.4,2
13,Iris-setosa,1.4,0.1,4.8,3.0,2
14,Iris-setosa,1.1,0.1,4.3,3.0,2
15,Iris-setosa,1.2,0.2,5.8,4.0,2
16,Iris-setosa,1.5,0.4,5.7,4.4,2
17,Iris-setosa,1.3,0.4,5.4,3.9,2
18,Iris-setosa,1.4,0.3,5.1,3.5,2
19,Iris-setosa,1.7,0.3,5.7,3.8,2
20,Iris-setosa,1.5,0.3,5.1,3.8,2
21,Iris-setosa,1.7,0.2,5.4,3.4,2
22,Iris-setosa,1.5,0.4,5.1,3.7,2
23,Iris-setosa,1.0,0.2,4.6,3.6,2
24,Iris-setosa,1.7,0.5,5.1,3.3,2
25,Iris-setosa,1.9,0.2,4.8,3.4,2
26,Iris-setosa,1.6,0.2,5.0,3.0,2
27,Iris-setosa,1.6,0.4,5.0,3.4,2
28,Iris-setosa,1.5,0.2,5.2,3.5,2
29,Iris-setosa,1.4,0.2,5.2,3.4,2
30,Iris-setosa,1.6,0.2,4.7,3.2,2
31,Iris-setosa,1.6,0.2,4.8,3.1,2
32,Iris-setosa,1.5,0.4,5.4,3.4,2
33,Iris-setosa,1.5,0.1,5.2,4.1,2
34,Iris-setosa,1.4,0.2,5.5,4.2,2
35,Iris-setosa,1.5,0.1,4.9,3.1,2
36,Iris-setosa,1.2,0.2,5.0,3.2,2
37,Iris-setosa,1.3,0.2,5.5,3.5,2
38,Iris-setosa,1.5,0.1,4.9,3.1,2
39,Iris-setosa,1.3,0.2,4.4,3.0,2
40,Iris-setosa,1.5,0.2,5.1,3.4,2
41,Iris-setosa,1.3,0.3,5.0,3.5,2
42,Iris-setosa,1.3,0.3,4.5,2.3,2
43,Iris-setosa,1.3,0.2,4.4,3.2,2
44,Iris-setosa,1.6,0.6,5.0,3.5,2
45,Iris-setosa,1.9,0.4,5.1,3.8,2
46,Iris-setosa,1.4,0.3,4.8,3.0,2
47,Iris-setosa,1.6,0.2,5.1,3.8,2
48,Iris-setosa,1.4,0.2,4.6,3.2,2
49,Iris-setosa,1.5,0.2,5.3,3.7,2
50,Iris-setosa,1.4,0.2,5.0,3.3,2
51,Iris-versicolor,4.7,1.4,7.0,3.2,3
52,Iris-versicolor,4.5,1.5,6.4,3.2,3
53,Iris-versicolor,4.9,1.5,6.9,3.1,3
54,Iris-versicolor,4.0,1.3,5.5,2.3,1
55,Iris-versicolor,4.6,1.5,6.5,2.8,1
56,Iris-versicolor,4.5,1.3,5.7,2.8,1
57,Iris-versicolor,4.7,1.6,6.3,3.3,3
58,Iris-versicolor,3.3,1.0,4.9,2.4,1
59,Iris-versicolor,4.6,1.3,6.6,2.9,1
60,Iris-versicolor,3.9,1.4,5.2,2.7,1
61,Iris-versicolor,3.5,1.0,5.0,2.0,1
62,Iris-versicolor,4.2,1.5,5.9,3.0,1
63,Iris-versicolor,4.0,1.0,6.0,2.2,1
64,Iris-versicolor,4.7,1.4,6.1,2.9,1
65,Iris-versicolor,3.6,1.3,5.6,2.9,1
66,Iris-versicolor,4.4,1.4,6.7,3.1,3
67,Iris-versicolor,4.5,1.5,5.6,3.0,1
68,Iris-versicolor,4.1,1.0,5.8,2.7,1
69,Iris-versicolor,4.5,1.5,6.2,2.2,1
70,Iris-versicolor,3.9,1.1,5.6,2.5,1
71,Iris-versicolor,4.8,1.8,5.9,3.2,3
72,Iris-versicolor,4.0,1.3,6.1,2.8,1
73,Iris-versicolor,4.9,1.5,6.3,2.5,1
74,Iris-versicolor,4.7,1.2,6.1,2.8,1
75,Iris-versicolor,4.3,1.3,6.4,2.9,1
76,Iris-versicolor,4.4,1.4,6.6,3.0,3
77,Iris-versicolor,4.8,1.4,6.8,2.8,3
78,Iris-versicolor,5.0,1.7,6.7,3.0,3
79,Iris-versicolor,4.5,1.5,6.0,2.9,1
80,Iris-versicolor,3.5,1.0,5.7,2.6,1
81,Iris-versicolor,3.8,1.1,5.5,2.4,1
82,Iris-versicolor,3.7,1.0,5.5,2.4,1
83,Iris-versicolor,3.9,1.2,5.8,2.7,1
84,Iris-versicolor,5.1,1.6,6.0,2.7,1
85,Iris-versicolor,4.5,1.5,5.4,3.0,1
86,Iris-versicolor,4.5,1.6,6.0,3.4,3
87,Iris-versicolor,4.7,1.5,6.7,3.1,3
88,Iris-versicolor,4.4,1.3,6.3,2.3,1
89,Iris-versicolor,4.1,1.3,5.6,3.0,1
90,Iris-versicolor,4.0,1.3,5.5,2.5,1
91,Iris-versicolor,4.4,1.2,5.5,2.6,1
92,Iris-versicolor,4.6,1.4,6.1,3.0,1
93,Iris-versicolor,4.0,1.2,5.8,2.6,1
94,Iris-versicolor,3.3,1.0,5.0,2.3,1
95,Iris-versicolor,4.2,1.3,5.6,2.7,1
96,Iris-versicolor,4.2,1.2,5.7,3.0,1
97,Iris-versicolor,4.2,1.3,5.7,2.9,1
98,Iris-versicolor,4.3,1.3,6.2,2.9,1
99,Iris-versicolor,3.0,1.1,5.1,2.5,1
100,Iris-versicolor,4.1,1.3,5.7,2.8,1
101,Iris-virginica,6.0,2.5,6.3,3.3,3
102,Iris-virginica,5.1,1.9,5.8,2.7,1
103,Iris-virginica,5.9,2.1,7.1,3.0,3
104,Iris-virginica,5.6,1.8,6.3,2.9,3
105,Iris-virginica,5.8,2.2,6.5,3.0,3
106,Iris-virginica,6.6,2.1,7.6,3.0,3
107,Iris-virginica,4.5,1.7,4.9,2.5,1
108,Iris-virginica,6.3,1.8,7.3,2.9,3
109,Iris-virginica,5.8,1.8,6.7,2.5,3
110,Iris-virginica,6.1,2.5,7.2,3.6,3
111,Iris-virginica,5.1,2.0,6.5,3.2,3
112,Iris-virginica,5.3,1.9,6.4,2.7,3
113,Iris-virginica,5.5,2.1,6.8,3.0,3
114,Iris-virginica,5.0,2.0,5.7,2.5,1
115,Iris-virginica,5.1,2.4,5.8,2.8,1
116,Iris-virginica,5.3,2.3,6.4,3.2,3
117,Iris-virginica,5.5,1.8,6.5,3.0,3
118,Iris-virginica,6.7,2.2,7.7,3.8,3
119,Iris-virginica,6.9,2.3,7.7,2.6,3
120,Iris-virginica,5.0,1.5,6.0,2.2,1
121,Iris-virginica,5.7,2.3,6.9,3.2,3
122,Iris-virginica,4.9,2.0,5.6,2.8,1
123,Iris-virginica,6.7,2.0,7.7,2.8,3
124,Iris-virginica,4.9,1.8,6.3,2.7,1
125,Iris-virginica,5.7,2.1,6.7,3.3,3
126,Iris-virginica,6.0,1.8,7.2,3.2,3
127,Iris-virginica,4.8,1.8,6.2,2.8,1
128,Iris-virginica,4.9,1.8,6.1,3.0,3
129,Iris-virginica,5.6,2.1,6.4,2.8,3
130,Iris-virginica,5.8,1.6,7.2,3.0,3
131,Iris-virginica,6.1,1.9,7.4,2.8,3
132,Iris-virginica,6.4,2.0,7.9,3.8,3
133,Iris-virginica,5.6,2.2,6.4,2.8,3
134,Iris-virginica,5.1,1.5,6.3,2.8,1
135,Iris-virginica,5.6,1.4,6.1,2.6,1
136,Iris-virginica,6.1,2.3,7.7,3.0,3
137,Iris-virginica,5.6,2.4,6.3,3.4,3
138,Iris-virginica,5.5,1.8,6.4,3.1,3
139,Iris-virginica,4.8,1.8,6.0,3.0,1
140,Iris-virginica,5.4,2.1,6.9,3.1,3
141,Iris-virginica,5.6,2.4,6.7,3.1,3
142,Iris-virginica,5.1,2.3,6.9,3.1,3
143,Iris-virginica,5.1,1.9,5.8,2.7,1
144,Iris-virginica,5.9,2.3,6.8,3.2,3
145,Iris-virginica,5.7,2.5,6.7,3.3,3
146,Iris-virginica,5.2,2.3,6.7,3.0,3
147,Iris-virginica,5.0,1.9,6.3,2.5,1
148,Iris-virginica,5.2,2.0,6.5,3.0,3
149,Iris-virginica,5.4,2.3,6.2,3.4,3
150,Iris-virginica,5.1,1.8,5.9,3.0,1
